Place,Population,Per Capita Income,Poverty Count,Poverty Rate
"Webster County, Georgia",2610,24102,1080,45.1%
"Wheeler County, Georgia",7928,14654,2491,38.8%
"White County, Georgia",29489,27406,12767,46.1%
"Whitfield County, Georgia",104237,23974,47674,36%
"Wilcox County, Georgia",8824,16183,2624,39.8%
"Wilkes County, Georgia",9844,24674,4092,45.1%
"Wilkinson County, Georgia",9010,22141,3276,42.6%
"Worth County, Georgia",20494,24415,8829,41.6%
"Hawaii County, Hawaii",199459,30542,88098,42.7%
"Honolulu County, Hawaii",984821,36816,470749,37.9%
"Kalawao County, Hawaii",66,49118,52,57.4%
"Kauai County, Hawaii",71769,33143,36460,42.6%
"Maui County, Hawaii",165979,35241,84899,41.2%
"Ada County, Idaho",456849,34919,229029,37%
"Adams County, Idaho",4097,28026,1573,55.2%
"Bannock County, Idaho",85765,25076,37593,33.8%
"Bear Lake County, Idaho",6000,26378,2585,39.6%
"Benewah County, Idaho",9138,23255,3482,46.2%
"Bingham County, Idaho",45839,23059,19732,33.6%
"Blaine County, Idaho",22373,33645,12325,43.2%
"Boise County, Idaho",7378,31975,2947,54%
"Bonner County, Idaho",43611,27918,18299,47.9%
"Bonneville County, Idaho",114392,28671,51226,32.9%
"Boundary County, Idaho",11845,25782,4670,43.5%
"Butte County, Idaho",2581,30294,951,45.2%
"Camas County, Idaho",1048,30209,493,44.5%
"Canyon County, Idaho",217633,22232,96436,33.6%
"Caribou County, Idaho",6953,26221,2983,36.9%
"Cassia County, Idaho",23690,21687,10141,32.9%
"Clark County, Idaho",913,18860,409,33.2%
"Clearwater County, Idaho",8673,23412,2842,50.4%
"Custer County, Idaho",4169,23805,1482,53%
"Elmore County, Idaho",26743,23028,9539,32.3%
"Franklin County, Idaho",13464,24185,5915,32.8%
"Fremont County, Idaho",13020,23577,5356,37.6%
"Gem County, Idaho",17331,22661,7233,44.6%
"Gooding County, Idaho",15148,23607,6984,38.7%
"Idaho County, Idaho",16411,22672,6214,50.2%
"Jefferson County, Idaho",28534,24677,12917,31.5%
"Jerome County, Idaho",23730,21461,11055,32.7%
"Kootenai County, Idaho",157322,29948,73191,40.2%
"Latah County, Idaho",39505,27011,20190,28.7%
"Lemhi County, Idaho",7847,25075,3194,52.1%
"Lewis County, Idaho",3838,24094,1454,48.6%
"Lincoln County, Idaho",5350,21656,2559,35.1%
"Madison County, Idaho",39100,16585,18393,23.5%
"Minidoka County, Idaho",20705,24262,9547,35.2%
"Nez Perce County, Idaho",40217,29544,19215,40.8%
"Oneida County, Idaho",4385,22120,1725,38.6%
"Owyhee County, Idaho",11552,22806,5168,38.9%
"Payette County, Idaho",23260,25768,9876,40.4%
"Power County, Idaho",7671,23343,3304,38.3%
"Shoshone County, Idaho",12609,23987,5025,47.3%
"Teton County, Idaho",11426,31191,5930,37.2%
"Twin Falls County, Idaho",84869,25352,40237,34.7%
"Valley County, Idaho",10709,33709,4714,50.6%
"Washington County, Idaho",10057,22650,4104,45.4%
"Adams County, Illinois",66085,30343,32677,41.5%
"Alexander County, Illinois",6260,19519,2102,45.3%
"Bond County, Illinois",16589,28119,7417,41.6%
"Boone County, Illinois",53537,31943,25777,38.5%
"Brown County, Illinois",6628,23070,2423,38.9%
"Bureau County, Illinois",33122,30255,15890,44.4%
"Calhoun County, Illinois",4830,28822,1996,46.8%
"Carroll County, Illinois",14466,29166,6570,48.3%
"Cass County, Illinois",12493,26992,5978,40%
"Champaign County, Illinois",209922,30578,103206,30.1%
"Christian County, Illinois",32931,27361,14704,43.4%
"Clark County, Illinois",15716,30796,7572,42.3%
"Clay County, Illinois",13287,26815,6030,42.6%
"Clinton County, Illinois",37634,31783,18656,40.6%
"Coles County, Illinois",51353,28084,24994,35.7%
"Cook County, Illinois",5198275,37552,2567330,36.8%
"Crawford County, Illinois",18972,26546,7645,41.8%
"Cumberland County, Illinois",10836,27812,5396,42.5%
"DeKalb County, Illinois",104366,29430,53520,31.1%
"De Witt County, Illinois",15932,30729,7926,43.6%
"Douglas County, Illinois",19623,28139,9522,37.8%
"DuPage County, Illinois",929060,46272,491547,39.3%
"Edgar County, Illinois",17407,27797,8218,45.2%
"Edwards County, Illinois",6455,28255,2929,43.5%
"Effingham County, Illinois",34137,31665,17279,39.4%
"Fayette County, Illinois",21565,23194,8760,41.9%
"Ford County, Illinois",13270,28957,6306,43.4%
"Franklin County, Illinois",38923,24098,15804,42.8%
"Fulton County, Illinois",35092,27741,15016,43.2%
"Gallatin County, Illinois",5064,33377,2124,45.6%
"Greene County, Illinois",13132,25414,6153,42.5%
"Grundy County, Illinois",50666,35208,25357,37.9%
"Hamilton County, Illinois",8176,27702,3559,43.6%
"Hancock County, Illinois",17983,28576,8133,46%
"Hardin County, Illinois",3939,28932,1310,46.8%
"Henderson County, Illinois",6809,28950,3294,50%
"Henry County, Illinois",49267,30345,22995,43.1%
"Iroquois County, Illinois",27812,27574,12897,44.4%
"Jackson County, Illinois",57977,24804,24955,31.9%
"Jasper County, Illinois",9594,25849,4392,43.1%
"Jefferson County, Illinois",37985,26466,16090,40.9%
"Jersey County, Illinois",21937,30182,10401,42.9%
"Jo Daviess County, Illinois",21588,34437,10689,49.9%
"Johnson County, Illinois",12494,23140,3814,43.7%
"Kane County, Illinois",531376,36270,268488,37.3%
"Kankakee County, Illinois",110637,27984,50949,37.7%
"Kendall County, Illinois",126054,36382,65645,35.2%
"Knox County, Illinois",50508,24545,21091,42.1%
"Lake County, Illinois",701473,45766,351926,38.4%
"LaSalle County, Illinois",109737,30277,52003,41.9%
"Lawrence County, Illinois",16033,23613,6166,42.4%
"Lee County, Illinois",34389,29984,15438,43.2%
"Livingston County, Illinois",36040,27925,15981,42%
"Logan County, Illinois",29003,27546,12426,40.1%
"McDonough County, Illinois",30479,24094,13558,33%
"McHenry County, Illinois",307714,39006,164564,40.2%
"McLean County, Illinois",172578,34532,88705,33.1%
"Macon County, Illinois",105528,29644,46487,41.1%
"Macoupin County, Illinois",45463,28809,20551,43.7%
"Madison County, Illinois",264776,32427,127273,40.2%
"Marion County, Illinois",37743,25563,16244,42.2%
"Marshall County, Illinois",11679,30808,5338,46%
"Mason County, Illinois",13621,28534,6339,45.2%
"Massac County, Illinois",14219,23539,5636,43.5%
"Menard County, Illinois",12306,37098,6223,43.2%
"Mercer County, Illinois",15589,29268,7531,44.9%
"Monroe County, Illinois",34168,42152,18127,42%
"Montgomery County, Illinois",28828,26609,11571,43.3%
"Morgan County, Illinois",34247,26755,15573,40.8%
"Moultrie County, Illinois",14641,29538,7045,40.7%
"Ogle County, Illinois",51025,31397,25032,42.4%
"Peoria County, Illinois",182770,32041,81821,37.5%
"Perry County, Illinois",21251,26035,8126,42.2%
"Piatt County, Illinois",16401,33468,8268,42.9%
"Pike County, Illinois",15672,26157,6815,42%
"Pope County, Illinois",4203,22065,1138,52.5%
"Pulaski County, Illinois",5510,21605,1830,44%
"Putnam County, Illinois",5721,34438,2906,48.1%
"Randolph County, Illinois",32295,26558,13190,41.6%
"Richland County, Illinois",15766,26358,7165,42%
"Rock Island County, Illinois",143873,29756,67890,40.1%
"St. Clair County, Illinois",262338,30807,120965,38.6%
"Saline County, Illinois",23994,25342,9902,42.2%
"Sangamon County, Illinois",196861,35509,94128,40.3%
"Schuyler County, Illinois",6953,24831,2893,46.3%
"Scott County, Illinois",5005,27052,2311,44.6%
"Shelby County, Illinois",21737,27029,10426,45.1%
"Stark County, Illinois",5447,30018,2479,45.1%
"Stephenson County, Illinois",45093,27911,20922,45.3%
"Tazewell County, Illinois",133195,33507,62800,41%
"Union County, Illinois",16968,25879,6962,43.7%
"Vermilion County, Illinois",77563,25307,31285,40.4%
"Wabash County, Illinois",11546,27781,5412,43.8%
"Warren County, Illinois",17146,25730,7948,39.8%
"Washington County, Illinois",14058,32838,7110,43.9%
"Wayne County, Illinois",16402,26313,7370,43.4%
"White County, Illinois",13868,26746,5939,44.3%
"Whiteside County, Illinois",56016,29856,26264,43.4%
"Will County, Illinois",689315,36524,351095,37.9%
"Williamson County, Illinois",67102,28375,28866,41.2%
"Winnebago County, Illinois",284819,29278,132720,39.7%
"Woodford County, Illinois",38700,37170,18653,40.5%
"Adams County, Indiana",35376,23316,15495,33.5%
"Allen County, Indiana",372575,29160,182422,35.9%
"Bartholomew County, Indiana",82481,31774,40151,37.8%
"Benton County, Indiana",8677,25187,4177,40.5%
"Blackford County, Indiana",12013,24302,5194,44%
"Boone County, Indiana",65544,48295,34202,38.1%
"Brown County, Indiana",15064,34372,7042,50%
"Carroll County, Indiana",20074,29366,9367,42.9%
"Cass County, Indiana",37880,24948,17738,40.8%
"Clark County, Indiana",116507,29062,58218,39.1%
"Clay County, Indiana",26234,26257,12009,41.5%
"Clinton County, Indiana",32273,24489,15183,37.8%
"Crawford County, Indiana",10569,22443,4247,43%
"Daviess County, Indiana",33120,23848,14545,34.4%
"Dearborn County, Indiana",49479,30800,24757,42.5%
"Decatur County, Indiana",26562,27006,13247,39.2%
"DeKalb County, Indiana",42927,29073,21541,39.1%
"Delaware County, Indiana",115020,25107,52763,35.6%
"Dubois County, Indiana",42543,30366,22529,40.3%
"Elkhart County, Indiana",204558,26150,97025,35.6%
"Fayette County, Indiana",23194,24015,10070,42.8%
"Floyd County, Indiana",77320,33478,38812,39.8%
"Fountain County, Indiana",16430,28058,7601,43.4%
"Franklin County, Indiana",22774,29166,11301,42.2%
"Fulton County, Indiana",20096,26427,9330,41.3%
"Gibson County, Indiana",33656,28076,16591,40.3%
"Grant County, Indiana",66452,23046,29082,40.3%
"Greene County, Indiana",32159,25453,14333,43.1%
"Hamilton County, Indiana",323117,49287,172742,37.1%
"Hancock County, Indiana",75164,34119,39099,39.8%
"Harrison County, Indiana",39940,28119,17546,42.3%
"Hendricks County, Indiana",163799,36569,86609,37.7%
"Henry County, Indiana",48255,24687,19851,42.1%
"Howard County, Indiana",82331,28129,37078,41.7%
"Huntington County, Indiana",36359,26502,18586,40.7%
"Jackson County, Indiana",44025,25840,20694,38.5%
"Jasper County, Indiana",33447,28240,15558,40.3%
"Jay County, Indiana",20840,23443,9616,39.7%
"Jefferson County, Indiana",32201,27152,14357,40.8%
"Jennings County, Indiana",27710,26017,13854,39.8%
"Johnson County, Indiana",153716,34408,78779,37.5%
"Knox County, Indiana",37065,26041,18220,37.9%
"Kosciusko County, Indiana",79035,29786,39704,38.5%
"LaGrange County, Indiana",39193,24549,16834,31.1%
"Lake County, Indiana",485707,28923,219897,39.1%
"LaPorte County, Indiana",110154,27264,47646,40.3%
"Lawrence County, Indiana",45548,26603,20914,43.1%
"Madison County, Indiana",129455,25557,57537,40.4%
"Marion County, Indiana",951869,28566,464897,34.3%
"Marshall County, Indiana",46461,25761,21088,40%
"Martin County, Indiana",10212,26758,4705,42.7%
"Miami County, Indiana",35815,24028,15293,40.1%
"Monroe County, Indiana",146461,28514,73499,29.6%
"Montgomery County, Indiana",38287,27162,18944,40.2%
"Morgan County, Indiana",69922,30721,33408,41.5%
"Newton County, Indiana",13992,26007,6139,43.1%
"Noble County, Indiana",47506,26832,22957,38.7%
"Ohio County, Indiana",5874,30517,2932,47.4%
"Orange County, Indiana",19545,24080,8706,42.4%
"Owen County, Indiana",20835,25209,9683,45.2%
"Parke County, Indiana",16946,23574,6623,43.2%
"Perry County, Indiana",19102,25707,8372,42%
"Pike County, Indiana",12378,25624,5650,43.7%
"Porter County, Indiana",168636,34595,79993,39.5%
"Posey County, Indiana",25560,32091,12401,42.6%
"Pulaski County, Indiana",12559,24992,5450,41.6%
"Putnam County, Indiana",37384,26120,16558,37.9%
"Randolph County, Indiana",24926,24964,11372,42.6%
"Ripley County, Indiana",28391,28312,13966,40.7%
"Rush County, Indiana",16641,26301,7563,41.7%
"St. Joseph County, Indiana",270216,28215,128744,36.6%
"Scott County, Indiana",23759,23646,10135,41.5%
"Shelby County, Indiana",44438,29583,22227,40.8%
"Spencer County, Indiana",20447,31287,9938,44%
"Starke County, Indiana",22952,24673,9751,41.5%
"Steuben County, Indiana",34453,29949,17584,43.7%
"Sullivan County, Indiana",20730,24356,8591,41%
"Switzerland County, Indiana",10685,24944,4519,40.5%
"Tippecanoe County, Indiana",191553,27451,96929,28.2%
"Tipton County, Indiana",15162,31025,7530,45.1%
"Union County, Indiana",7113,25661,3395,43.5%
"Vanderburgh County, Indiana",181291,29638,88298,38.3%
"Vermillion County, Indiana",15539,26493,6771,42.9%
"Vigo County, Indiana",107459,25113,48625,36.2%
"Wabash County, Indiana",31389,27149,14712,42.3%
"Warren County, Indiana",8237,31104,3974,44.4%
"Warrick County, Indiana",62280,37466,31695,41.2%
"Washington County, Indiana",27848,25015,12238,41.6%
"Wayne County, Indiana",66342,26510,30108,40.6%
"Wells County, Indiana",28011,28663,13966,40.3%
"White County, Indiana",24149,27461,11283,42%
"Whitley County, Indiana",33730,31843,17204,41.8%
"Adair County, Iowa",7085,30822,3506,45.4%
"Adams County, Iowa",3670,28440,1674,47.3%
"Allamakee County, Iowa",13813,27892,6752,44.4%
"Appanoose County, Iowa",12452,26012,5263,45.7%
"Audubon County, Iowa",5571,30344,2906,48.1%
"Benton County, Iowa",25636,33301,13269,42.6%
"Black Hawk County, Iowa",132393,30563,69185,35.2%
"Boone County, Iowa",26370,32889,14064,41.8%
"Bremer County, Iowa",24864,32814,13158,39.8%
"Buchanan County, Iowa",21118,33373,10518,39.1%
"Buena Vista County, Iowa",20058,26526,10343,35%
"Butler County, Iowa",14628,30036,7202,43.9%
"Calhoun County, Iowa",9744,28434,4314,44.6%
"Carroll County, Iowa",20281,31648,10628,42%
"Cass County, Iowa",13091,28302,6370,44.9%
"Cedar County, Iowa",18457,32268,9634,42.7%
"Cerro Gordo County, Iowa",42834,32757,22181,44.3%
"Cherokee County, Iowa",11343,32999,5822,46.3%
"Chickasaw County, Iowa",12026,31095,6519,44.5%
"Clarke County, Iowa",9360,27416,4615,40.5%
"Clay County, Iowa",16211,28747,8111,42.9%
"Clayton County, Iowa",17625,28294,9087,47.3%
"Clinton County, Iowa",46909,28483,22152,42.2%
"Crawford County, Iowa",17034,29196,7824,38.7%
"Dallas County, Iowa",87099,45090,47496,35.4%
"Davis County, Iowa",8920,29387,4202,36.8%
"Decatur County, Iowa",7979,22875,3666,36.4%
"Delaware County, Iowa",17183,32112,9258,43.8%
"Des Moines County, Iowa",39386,29941,19045,42.9%
"Dickinson County, Iowa",17127,39052,9204,48.4%
"Dubuque County, Iowa",96982,32905,50533,38.6%
"Emmet County, Iowa",9438,28651,4721,42.9%
"Fayette County, Iowa",19803,28643,9796,43.8%
"Floyd County, Iowa",15786,29622,7857,44.1%
"Franklin County, Iowa",10162,29546,4965,42.7%
"Fremont County, Iowa",6946,29261,3262,46.2%
"Greene County, Iowa",8950,28451,4540,44.5%
"Grundy County, Iowa",12299,36231,6219,42.6%
"Guthrie County, Iowa",10669,31128,5326,45.5%
"Hamilton County, Iowa",14997,30127,7348,42.6%
"Hancock County, Iowa",10802,30309,5647,44.2%
"Hardin County, Iowa",17061,28770,8491,44.7%
"Harrison County, Iowa",14089,32443,7292,44%
"Henry County, Iowa",19941,26408,9264,39.7%
"Howard County, Iowa",9226,29032,4728,41.5%
"Humboldt County, Iowa",9554,30480,4656,42.9%
"Ida County, Iowa",6901,33789,3452,43.7%
"Iowa County, Iowa",16189,33755,8516,41.7%
"Jackson County, Iowa",19401,29660,9547,44.3%
"Jasper County, Iowa",36971,28604,18027,42.1%
"Jefferson County, Iowa",18148,28611,9052,42.9%
"Johnson County, Iowa",148577,35108,84129,30.3%
"Jones County, Iowa",20559,29453,9850,43.1%
"Keokuk County, Iowa",10188,29957,4856,43.7%
"Kossuth County, Iowa",14978,31225,7322,45.5%
"Lee County, Iowa",34227,26710,15554,43.1%
"Linn County, Iowa",223861,34545,118971,37.7%
"Louisa County, Iowa",11178,29021,5621,41.9%
"Lucas County, Iowa",8583,31069,4113,44.2%
"Lyon County, Iowa",11776,29124,6076,38%
"Madison County, Iowa",16012,35470,8446,40.7%
"Mahaska County, Iowa",22164,28174,11050,39.3%
"Marion County, Iowa",33172,30644,16911,39.4%
"Marshall County, Iowa",39964,27196,18901,38.7%
"Mills County, Iowa",15034,34850,7404,42.5%
"Mitchell County, Iowa",10608,29676,5392,43.6%
"Monona County, Iowa",8730,29591,4314,46%
"Monroe County, Iowa",7807,28999,3785,43%
"Montgomery County, Iowa",10053,29781,4867,44.2%
"Muscatine County, Iowa",42889,29511,21555,38.1%
"O'Brien County, Iowa",13835,30564,7224,41.9%
"Osceola County, Iowa",6052,30955,3109,44%
"Page County, Iowa",15268,27390,6982,44.1%
"Palo Alto County, Iowa",9003,28445,4581,41.4%
"Plymouth County, Iowa",25068,33982,13367,40%
"Pocahontas County, Iowa",6797,30013,3322,47.6%
"Polk County, Iowa",479612,35433,257032,35.5%
"Pottawattamie County, Iowa",93393,30318,47210,39.7%
"Poweshiek County, Iowa",18388,31827,9602,40.5%
"Ringgold County, Iowa",4964,28756,2203,44%
"Sac County, Iowa",9802,32274,5024,46.1%
"Scott County, Iowa",172446,33643,84565,38.3%
"Shelby County, Iowa",11606,32703,6197,46.4%
"Sioux County, Iowa",34827,29360,18732,33.4%
"Story County, Iowa",96941,29539,51453,26.6%
"Tama County, Iowa",17032,28585,8459,42.6%
"Taylor County, Iowa",6167,29778,2982,42.3%
"Union County, Iowa",12358,27750,6143,40.3%
"Van Buren County, Iowa",7150,27252,3051,45.4%
"Wapello County, Iowa",35141,26424,16377,39.6%
"Warren County, Iowa",50076,36496,26361,38.3%
"Washington County, Iowa",22100,30547,11307,40.3%
"Wayne County, Iowa",6429,25628,2799,43.2%
"Webster County, Iowa",36545,26498,16772,39%
"Winnebago County, Iowa",10534,28342,5477,41.8%
"Winneshiek County, Iowa",20262,32075,11678,41.5%
"Woodbury County, Iowa",102586,28688,51942,35.8%
"Worth County, Iowa",7445,31949,3889,43.9%
"Wright County, Iowa",12739,29622,5738,43.5%
"Allen County, Kansas",12556,23734,5873,41.9%
"Anderson County, Kansas",7835,24309,3368,40.8%
"Atchison County, Kansas",16268,24237,7792,36.6%
"Barber County, Kansas",4624,27648,2127,43.6%
"Barton County, Kansas",26453,27495,13276,39.9%
"Bourbon County, Kansas",14608,23102,6412,39.1%
"Brown County, Kansas",9626,25208,4575,42.1%
"Butler County, Kansas",66698,29986,31016,38.6%
"Chase County, Kansas",2637,23055,1111,44.8%
"Chautauqua County, Kansas",3323,22962,1364,47.9%
"Cherokee County, Kansas",20179,22615,8566,41.3%
"Cheyenne County, Kansas",2665,29041,1269,45.6%
"Clark County, Kansas",2026,28227,988,45.3%
"Clay County, Kansas",8082,29235,3848,42.5%
"Cloud County, Kansas",8938,27279,4377,40.8%
"Coffey County, Kansas",8254,33371,4126,43.8%
"Comanche County, Kansas",1740,30355,925,48.1%
"Cowley County, Kansas",35351,24726,15488,38.8%
"Crawford County, Kansas",38968,23091,18488,32.5%
"Decatur County, Kansas",2860,30905,1387,50.6%
"Dickinson County, Kansas",18828,27219,8958,41.3%
"Doniphan County, Kansas",7684,25775,3841,41%
"Douglas County, Kansas",120290,32281,68190,29.8%
"Edwards County, Kansas",2869,27431,1416,45.7%
"Elk County, Kansas",2523,23875,967,52.3%
"Ellis County, Kansas",28775,30956,16115,32.5%
"Ellsworth County, Kansas",6231,26443,2686,42.1%
"Finney County, Kansas",36750,24152,18616,30.8%
"Ford County, Kansas",34179,23293,16617,32.2%
"Franklin County, Kansas",25558,26998,12732,40%
"Geary County, Kansas",34025,23897,12001,26.4%
"Gove County, Kansas",2644,28859,1288,48.2%
"Graham County, Kansas",2519,27236,1229,50.4%
"Grant County, Kansas",7467,25411,3438,32.6%
"Gray County, Kansas",6039,29421,3158,36%
"Greeley County, Kansas",1185,28982,583,42.2%
"Greenwood County, Kansas",6081,27500,2875,48.6%
"Hamilton County, Kansas",2591,22003,1231,35.8%
"Harper County, Kansas",5594,24800,2371,42.4%
"Harvey County, Kansas",34503,28226,17037,39.2%
"Haskell County, Kansas",4018,26814,1916,36.9%
"Hodgeman County, Kansas",1876,30044,989,47.6%
"Jackson County, Kansas",13266,28127,6081,41.2%
"Jefferson County, Kansas",18890,30655,9450,43.3%
"Jewell County, Kansas",2885,27731,1220,52.8%
"Johnson County, Kansas",591506,46517,322681,37.6%
"Kearny County, Kansas",3907,23415,1659,34.7%
"Kingman County, Kansas",7340,34578,3576,45.4%
"Kiowa County, Kansas",2505,26321,1212,41.6%
"Labette County, Kansas",20119,24572,9518,41%
"Lane County, Kansas",1564,28435,864,40.7%
"Leavenworth County, Kansas",80745,32444,35647,37.8%
"Lincoln County, Kansas",3044,25803,1440,46.5%
"Linn County, Kansas",9671,27926,4302,44.4%
"Logan County, Kansas",2805,28135,1425,39.7%
"Lyon County, Kansas",33251,26904,17330,33.4%
"McPherson County, Kansas",28567,31006,14832,40.8%
"Marion County, Kansas",11964,26577,5726,44.5%
"Marshall County, Kansas",9749,28469,4854,42.8%
"Meade County, Kansas",4180,28945,2103,37.9%
"Miami County, Kansas",33417,35659,16663,42.1%
"Mitchell County, Kansas",6145,25801,2728,43.1%
"Montgomery County, Kansas",32521,24647,14494,40.3%
"Morris County, Kansas",5566,29558,2719,46.6%
"Morton County, Kansas",2754,23447,1150,40.5%
"Nemaha County, Kansas",10121,30344,5292,39.9%
"Neosho County, Kansas",16108,23845,7207,40.2%
"Ness County, Kansas",2876,34243,1389,50%
"Norton County, Kansas",5446,25352,2350,42.7%
"Osage County, Kansas",15881,27951,7406,43.8%
"Osborne County, Kansas",3530,30843,1751,46.7%
"Ottawa County, Kansas",5822,29230,2927,43%
"Pawnee County, Kansas",6629,25131,2694,43%
"Phillips County, Kansas",5340,27431,2621,44.3%
"Pottawatomie County, Kansas",23847,29345,11216,35.4%
"Pratt County, Kansas",9452,27442,4493,38.5%
"Rawlins County, Kansas",2502,28590,1255,48.8%
"Reno County, Kansas",62765,27073,29344,40.3%
"Republic County, Kansas",4658,27424,2264,50.7%
"Rice County, Kansas",9658,26737,4715,38.9%
"Riley County, Kansas",75056,27272,36374,25.1%
"Rooks County, Kansas",5053,26420,2465,44.7%
"Rush County, Kansas",3022,26552,1436,46.6%
"Russell County, Kansas",6948,26090,3135,49.1%
"Saline County, Kansas",54701,28813,27568,38.6%
"Scott County, Kansas",4917,29315,2502,39.7%
"Sedgwick County, Kansas",513375,29530,249591,35.4%
"Seward County, Kansas",22349,20754,10870,29.4%
"Shawnee County, Kansas",177852,30974,85691,39.1%
"Sheridan County, Kansas",2506,35465,1308,44.9%
"Sherman County, Kansas",5938,27919,2931,39.3%
"Smith County, Kansas",3627,28994,1745,51.4%
"Stafford County, Kansas",4181,28060,2017,44.1%
"Stanton County, Kansas",2052,23033,917,35.3%
"Stevens County, Kansas",5603,24652,2493,35.1%
"Sumner County, Kansas",23114,26954,10559,41.2%
"Thomas County, Kansas",7810,30442,4232,36%
"Trego County, Kansas",2840,34230,1603,49.4%
"Wabaunsee County, Kansas",6889,27876,3379,43.8%
"Wallace County, Kansas",1574,27966,772,41.8%
"Washington County, Kansas",5493,27841,2637,45.4%
"Wichita County, Kansas",2130,29126,1119,42.3%
"Wilson County, Kansas",8688,27471,3993,43.7%
"Woodson County, Kansas",3157,22672,1340,47.4%
"Wyandotte County, Kansas",164861,22335,76548,33.7%
"Adair County, Kentucky",19222,21196,7857,41.8%
"Allen County, Kentucky",20944,22294,8744,40.7%
"Anderson County, Kentucky",22409,27250,10461,41.4%
"Ballard County, Kentucky",8032,25217,3319,43.6%
"Barren County, Kentucky",43884,21869,18598,40.5%
"Bath County, Kentucky",12355,22238,4895,40.6%
"Bell County, Kentucky",26791,15501,7569,41.7%
"Boone County, Kentucky",130820,35991,67668,37.5%
"Bourbon County, Kentucky",20058,27802,9284,41.8%
"Boyd County, Kentucky",47682,26193,18345,42.3%
"Boyle County, Kentucky",29972,26413,12253,40.3%
"Bracken County, Kentucky",8305,24124,3665,41.4%
"Breathitt County, Kentucky",12977,19053,3911,42.2%
"Breckinridge County, Kentucky",20176,23286,7714,43.1%
"Bullitt County, Kentucky",80171,29333,40256,40.4%
"Butler County, Kentucky",12764,22951,5179,41.3%
"Caldwell County, Kentucky",12702,28799,5238,44%
"Calloway County, Kentucky",38837,23219,18318,35.6%
"Campbell County, Kentucky",92861,34025,46997,38.2%
"Carlisle County, Kentucky",4784,30065,1865,42.8%
"Carroll County, Kentucky",10671,25217,4458,38.5%
"Carter County, Kentucky",27159,18778,8723,41.6%
"Casey County, Kentucky",15885,18457,5659,42.6%
"Christian County, Kentucky",71414,23021,23554,28.3%
"Clark County, Kentucky",35971,28802,16357,42.3%
"Clay County, Kentucky",20368,15391,5509,39.6%
"Clinton County, Kentucky",10193,21019,3635,41.9%
"Crittenden County, Kentucky",9000,23959,3704,43.6%
"Cumberland County, Kentucky",6697,18728,2587,46%
"Daviess County, Kentucky",100474,28806,45985,38.9%
"Edmonson County, Kentucky",12138,21802,4615,44.3%
"Elliott County, Kentucky",7510,13856,1711,41.4%
"Estill County, Kentucky",14224,17746,4831,43.5%
"Fayette County, Kentucky",320601,34442,167423,34.6%
"Fleming County, Kentucky",14513,23593,6061,41.4%
"Floyd County, Kentucky",36456,19471,10603,42.2%
"Franklin County, Kentucky",50529,30711,24531,40.9%
"Fulton County, Kentucky",6130,18247,2005,43.5%
"Gallatin County, Kentucky",8737,23638,3863,38.8%
"Garrard County, Kentucky",17445,26272,7412,43%
"Grant County, Kentucky",24951,23721,10773,36.3%
"Graves County, Kentucky",37248,24750,15681,39.7%
"Grayson County, Kentucky",26247,21231,10697,40.3%
"Green County, Kentucky",10979,22506,4446,44.6%
"Greenup County, Kentucky",35555,27722,14322,43.4%
"Hancock County, Kentucky",8720,24830,3713,39.9%
"Hardin County, Kentucky",108527,28606,47906,37%
"Harlan County, Kentucky",26699,16468,7174,41.3%
"Harrison County, Kentucky",18722,24154,8134,42.2%
"Hart County, Kentucky",18729,20742,7248,40.5%
"Henderson County, Kentucky",45829,26212,20338,41.2%
"Henry County, Kentucky",15911,25202,7291,41.4%
"Hickman County, Kentucky",4510,28114,1598,48%
"Hopkins County, Kentucky",45331,25042,18846,41.8%
"Jackson County, Kentucky",13369,18560,4226,42.2%
"Jefferson County, Kentucky",767419,33251,382608,38.3%
"Jessamine County, Kentucky",53032,31146,24409,37.8%
"Johnson County, Kentucky",22634,21974,6782,41.8%
"Kenton County, Kentucky",165668,33330,85375,37.1%
"Knott County, Kentucky",15260,18475,4601,43.2%
"Knox County, Kentucky",31365,17832,9838,40%
"Larue County, Kentucky",14204,24803,6387,40.9%
"Laurel County, Kentucky",60357,22398,23932,40%
"Lawrence County, Kentucky",15671,18124,4685,41.2%
"Lee County, Kentucky",6881,17386,2002,43.6%
"Leslie County, Kentucky",10283,15838,3000,42.3%
"Letcher County, Kentucky",22295,20641,7050,42.4%
"Lewis County, Kentucky",13417,19860,4330,42.8%
"Lincoln County, Kentucky",24476,21480,10037,41.3%
"Livingston County, Kentucky",9235,27728,3888,46%
"Logan County, Kentucky",26902,24221,11162,40.7%
"Lyon County, Kentucky",8271,26994,2877,50.6%
"McCracken County, Kentucky",65268,32357,28954,42.2%
"McCreary County, Kentucky",17465,14505,4797,39.4%
"McLean County, Kentucky",9283,25610,3729,42.4%
"Madison County, Kentucky",90802,25837,42683,34.1%
"Magoffin County, Kentucky",12491,18243,3372,42.3%
"Marion County, Kentucky",19244,22241,7700,39.3%
"Marshall County, Kentucky",31192,29792,13466,44.9%
"Martin County, Kentucky",11648,18017,3276,39.5%
"Mason County, Kentucky",17112,28411,7255,40.6%
"Meade County, Kentucky",28182,27861,12001,38.6%
"Menifee County, Kentucky",6443,20588,2425,44.6%
"Mercer County, Kentucky",21592,27061,9681,43.2%
